name,id,nametype,recclass,mass (g),fall,year,reclat,reclong,GeoLocation
Miller Range 090913,55197,Valid,H5,9.5,Found,2009,0.0,0.0,"(0.0, 0.0)"
Miller Range 090914,55198,Valid,LL5,8.8,Found,2009,0.0,0.0,"(0.0, 0.0)"
Miller Range 090915,55199,Valid,CO3,7.3,Found,2009,0.0,0.0,"(0.0, 0.0)"
Miller Range 090916,55200,Valid,LL6,5.0,Found,2009,0.0,0.0,"(0.0, 0.0)"
Miller Range 090917,55201,Valid,LL6,4.5,Found,2009,0.0,0.0,"(0.0, 0.0)"
Miller Range 090918,55202,Valid,H6,7.6,Found,2009,0.0,0.0,"(0.0, 0.0)"
Miller Range 090919,55203,Valid,CO3,3.9,Found,2009,0.0,0.0,"(0.0, 0.0)"
Miller Range 090920,56036,Valid,L6,99.4,Found,2009,0.0,0.0,"(0.0, 0.0)"
Miller Range 090921,56037,Valid,LL6,61.0,Found,2009,0.0,0.0,"(0.0, 0.0)"
Miller Range 090922,56038,Valid,L6,71.3,Found,2009,0.0,0.0,"(0.0, 0.0)"
Miller Range 090923,56039,Valid,L6,67.9,Found,2009,0.0,0.0,"(0.0, 0.0)"
Miller Range 090924,56040,Valid,L6,45.5,Found,2009,0.0,0.0,"(0.0, 0.0)"
Miller Range 090925,56041,Valid,L6,106.3,Found,2009,0.0,0.0,"(0.0, 0.0)"
Miller Range 090926,56042,Valid,LL6,128.4,Found,2009,0.0,0.0,"(0.0, 0.0)"
Miller Range 090927,56043,Valid,LL5,139.5,Found,2009,0.0,0.0,"(0.0, 0.0)"
Miller Range 090928,56044,Valid,LL5,115.6,Found,2009,0.0,0.0,"(0.0, 0.0)"
Miller Range 090929,56045,Valid,L5,170.7,Found,2009,0.0,0.0,"(0.0, 0.0)"
Miller Range 090930,56046,Valid,"Iron, IVA",150.0,Found,2009,0.0,0.0,"(0.0, 0.0)"
Miller Range 090931,55204,Valid,LL6,11.9,Found,2009,0.0,0.0,"(0.0, 0.0)"
Miller Range 090932,55205,Valid,L6,76.59999999999998,Found,2009,0.0,0.0,"(0.0, 0.0)"
Miller Range 090933,55206,Valid,L6,23.4,Found,2009,0.0,0.0,"(0.0, 0.0)"
Miller Range 090934,55207,Valid,L6,33.3,Found,2009,0.0,0.0,"(0.0, 0.0)"
Miller Range 090935,55208,Valid,LL5,17.9,Found,2009,0.0,0.0,"(0.0, 0.0)"
Miller Range 090936,56047,Valid,LL5,23.7,Found,2009,0.0,0.0,"(0.0, 0.0)"
Miller Range 090937,55209,Valid,Mesosiderite,29.2,Found,2009,0.0,0.0,"(0.0, 0.0)"
Miller Range 090938,55210,Valid,LL6,12.2,Found,2009,0.0,0.0,"(0.0, 0.0)"
Miller Range 090939,55211,Valid,LL6,16.9,Found,2009,0.0,0.0,"(0.0, 0.0)"
Miller Range 090940,54422,Valid,L6,11.8,Found,2009,0.0,0.0,"(0.0, 0.0)"
Miller Range 090941,54423,Valid,H5,26.4,Found,2009,0.0,0.0,"(0.0, 0.0)"
Miller Range 090942,54424,Valid,L6,8.6,Found,2009,0.0,0.0,"(0.0, 0.0)"
Miller Range 090943,54425,Valid,LL6,9.0,Found,2009,0.0,0.0,"(0.0, 0.0)"
Miller Range 090944,54426,Valid,LL5,4.8,Found,2009,0.0,0.0,"(0.0, 0.0)"
Miller Range 090945,54427,Valid,LL6,6.7,Found,2009,0.0,0.0,"(0.0, 0.0)"
Miller Range 090946,54428,Valid,LL6,3.2,Found,2009,0.0,0.0,"(0.0, 0.0)"
Miller Range 090947,54429,Valid,LL5,6.4,Found,2009,0.0,0.0,"(0.0, 0.0)"
Miller Range 090948,55212,Valid,LL6,3.6,Found,2009,0.0,0.0,"(0.0, 0.0)"
Miller Range 090949,54430,Valid,LL5,3.8,Found,2009,0.0,0.0,"(0.0, 0.0)"
